FeatureIndex_1,FeatureIndex_2,FeatureIndex_3,FeatureIndex_4,FeatureIndex_5,FeatureIndex_6,FeatureIndex_7,FeatureIndex_8,FeatureIndex_9,FeatureIndex_10,FeatureIndex_11,FeatureIndex_12,FeatureIndex_13,FeatureIndex_14,FeatureIndex_15,FeatureIndex_16,FeatureIndex_17,FeatureIndex_18,FeatureIndex_19,FeatureIndex_20,FeatureIndex_21,FeatureIndex_22,FeatureIndex_23,FeatureIndex_24,FeatureIndex_25,FeatureIndex_26,FeatureIndex_27,FeatureIndex_28,FeatureIndex_29,FeatureIndex_30,FeatureIndex_31,FeatureIndex_32,FeatureIndex_33,FeatureIndex_34,FeatureIndex_35,FeatureIndex_36,FeatureIndex_37,FeatureIndex_38,FeatureIndex_39,FeatureIndex_40,FeatureIndex_41,FeatureIndex_42,FeatureIndex_43,FeatureIndex_44,FeatureIndex_45,FeatureIndex_46,FeatureIndex_47,FeatureIndex_48,FeatureIndex_49,FeatureIndex_50,FeatureIndex_51,FeatureIndex_52,FeatureIndex_53,FeatureIndex_54,FeatureIndex_55,FeatureIndex_56,FeatureIndex_57,FeatureIndex_58,FeatureIndex_59,FeatureIndex_60,FeatureIndex_61,FeatureIndex_62,FeatureIndex_63,FeatureIndex_64,TransientName
8,8,8,8,8,8,0,8,8,8,19,11,11,19,0,8,0,0,11,18,18,11,0,8,0,19,11,4,4,11,19,0,8,0,11,7,4,18,19,0,8,0,11,18,14,11,0,0,8,6,19,11,11,19,8,8,8,8,0,19,0,8,0,8,SN2018fum
8,6,6,6,6,6,6,8,6,6,6,0,0,0,6,6,8,0,1,20,12,20,1,0,6,19,7,4,4,7,20,0,0,5,17,7,4,7,5,6,0,19,20,12,12,20,8,6,8,8,8,8,8,6,6,6,8,6,6,6,8,6,6,8,SN2016jaw
9,9,9,9,6,9,9,9,12,11,18,11,23,10,17,18,21,17,17,17,17,10,16,10,10,10,4,4,4,7,16,7,10,23,16,7,4,7,14,10,16,16,10,23,23,18,10,11,11,6,5,15,3,11,9,1,6,6,0,0,0,15,9,0,SN2004dc
1,14,3,21,17,18,3,2,23,1,13,21,17,10,3,1,2,14,10,10,10,21,13,3,14,13,21,7,22,21,20,11,23,13,20,7,22,14,23,23,11,13,13,17,21,10,16,15,2,3,14,7,10,14,18,23,2,2,11,13,12,3,13,2,SN2017evn
11,13,11,20,18,12,12,20,13,12,12,18,20,3,20,12,12,18,11,1,13,3,20,13,18,3,2,22,22,16,20,20,3,18,14,16,22,3,3,20,14,20,14,1,14,2,5,12,13,11,13,11,11,18,13,18,12,23,12,23,20,13,1,11,PSc370593
0,6,9,9,6,0,0,6,0,6,6,8,8,0,0,0,9,1,1,1,1,23,23,6,6,1,1,4,4,14,1,6,0,23,23,14,4,1,1,1,1,1,1,2,6,1,0,9,0,9,6,0,1,12,5,9,0,3,0,0,1,6,9,9,SN1999gb
14,21,23,20,18,21,3,18,18,18,20,18,3,18,12,3,12,21,21,4,13,1,20,14,20,3,11,7,22,5,21,21,13,12,3,18,4,10,11,3,3,3,13,1,21,14,11,16,23,14,13,18,11,14,12,14,20,18,18,18,13,14,13,13,SNF20080704-011
4,20,0,0,18,1,14,0,9,6,6,16,16,2,8,6,0,6,8,16,23,14,1,9,0,23,2,4,4,18,11,3,9,23,23,18,4,16,1,0,1,1,2,2,16,18,1,20,0,23,23,16,23,23,3,6,9,1,0,1,0,19,6,9,SN2004eg
3,19,1,11,20,5,11,19,5,11,1,5,0,0,19,17,1,5,19,8,18,10,7,4,5,6,20,4,4,4,7,5,0,10,22,22,4,16,15,19,7,4,10,21,19,0,15,5,17,11,19,19,5,15,19,5,5,5,19,20,0,16,18,19,PTF11apq
13,11,18,18,18,13,13,12,13,18,14,3,13,20,18,20,13,13,23,23,3,20,12,23,21,13,1,22,22,11,14,14,20,20,13,23,22,18,13,20,23,12,3,23,23,18,18,18,21,20,18,21,3,13,12,11,13,18,18,3,18,18,11,21,SN1999ff
